dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
3.468821313,-20.21465054,4,357.80114,0.005182003,0.000286282,0.389837364,228.0834288,0,0
0,-21.43617992,4,357.80114,0.009300546,0.000359096,0.08445502,288.0183313,0.749614723,0.652951131
0,-29.95860004,4,173.996088,0.009045658,7.60E-05,-0.59215001,252.6140545,0.41323461,0.40845424
0,-28.21722795,4,267.818088,0.005596225,7.21E-05,-0.454306987,273.0175303,0.629983175,0.614190868
0,-26.55163384,4,365.076088,0.005173981,9.46E-05,-0.17690846,300.1067892,0.555445063,0.495655652
0,-23.46334759,4,269.684088,0.008512423,8.07E-05,-0.214836898,203.1333362,1.138559752,1.123871403
5.050114616,-27.70402948,4,175.81,0.009056258,0.000617658,-0.366007371,215.3556107,0,0
1.992940506,-25.85428207,4,269.632,0.009093309,0.000570761,-0.201070518,220.7633358,0,0
3.794142998,-25.76596364,4,269.632,0.009912329,0.000569295,-0.178990909,237.6203091,0,0
2.313581453,-24.54233468,4,366.89,0.003354033,0.000526877,-0.01208367,238.7898068,0,0
0,-26.24872261,4,149.6868063,0.007107631,0.004306879,-1.247680652,123.4167394,0.30089078,0.295598909
2.273205626,-22.73048263,4,182.59,0.003537471,0.000666905,-0.269120658,168.8311912,0,0
0,-22.39953868,4,182.59,0.002196091,0.000883622,-0.18638467,163.1128455,0.331279713,0.321270979
1.941040478,-21.30657734,4,271.498,0.004586911,0.000744088,-0.013144336,206.7751896,0,0
0,-20.84414497,4,271.498,0.004475731,0.000802337,0.102463757,186.3092854,0.145117295,0.14089497
0.275766488,-20.49347589,4,365.49894,0.004880596,0.00042533,0.136631028,257.6707602,0,0
1.429402308,-26.29317155,4,181.986388,0.001715073,0.000364418,-0.419792887,209.2407023,0,0
1.461663349,-24.32265531,4,275.808388,0.006424894,0.00038599,-0.224663827,228.5765203,0,0
1.470223815,-22.97438531,4,373.066388,0.00464035,0.000211605,-0.026596329,254.3714491,0,0
1.781825402,-24.37191869,4,155.8631943,0.007856363,0.003404496,-1.184979673,121.6381194,0,0
9.269874976,-23.76224391,4,155.8631943,0.004175865,0.003500233,-1.032560978,119.6622081,0,0
3.989679203,-20.62101134,4,188.766388,0.008980341,0.000346614,-0.148252836,167.8876249,0,0
2.686048541,-20.16084649,4,188.766388,0.00865742,0.000550931,-0.033211623,170.5577957,0,0
0.333811973,-19.52084661,4,277.674388,0.008534059,0.000481971,0.026788346,218.1692514,0.029206898,0.064851336
0.987412497,-18.90996455,4,277.674388,0.001253471,0.000380204,0.179508862,214.4644605,0,0
2.101581709,-18.65061598,4,371.675328,0.007295101,0.000248329,0.190846005,246.9697184,0,0
1.542676513,-23.99541049,4,181.5068,0.001769075,0.000125318,-0.336352622,213.1428824,0,0
1.510739736,-22.51265795,4,275.3288,0.005540076,0.000140872,-0.263164487,228.7307003,0,0
1.632304565,-21.56985086,4,372.5868,0.008352096,0.000151911,-0.166462715,248.3158686,0,0
7.611612171,-21.51840905,4,155.3836063,0.002380326,0.002868116,-0.962602262,130.4152383,0,0
0,-21.46866636,4,155.3836063,0.006420416,0.00290076,-0.95016659,129.2827197,0.370356315,0.355192135
2.823701249,-18.54657164,4,188.2868,0.009360719,0.00013703,-0.120642909,203.7475434,0,0
2.991171044,-17.66546735,4,277.1948,0.005716218,0.000130585,-0.000366837,230.3278272,0,0
2.430603298,-17.10396448,4,371.19574,0.006512448,0.00012749,0.086508879,260.0390899,0,0
2.03021611,-15.91339748,4,191.212,0.003339268,0.000706814,-0.101349369,236.2916197,0,0
1.464768752,-14.66194776,4,285.034,0.00720806,0.000610334,-0.08598694,231.300024,0,0
0.920675543,-14.01054722,4,382.292,0.006667174,0.000748253,-0.062136806,247.5982935,0,0
9.19911169,-14.47399979,4,165.0888063,0.005882408,0.003989668,-0.986999948,139.4132312,0,0
